,numchilds,meaneduc,overcrowding,isprecarious,Target,walltype,wallquality,floortype,floorqual,roofqual,region,dependency,headescolari,sumelectronics
0,0,10.0,1.0,0,4,6,2,5,1,1,1,0.0,10,1.0
1,0,12.0,1.0,0,4,4,2,4,2,2,1,10.0,12,2.0
2,0,11.0,0.5,0,4,4,2,5,3,3,1,10.0,11,0.0
5,1,11.0,1.3,0,4,6,3,5,3,3,1,1.0,11,4.0
8,2,10.0,4.0,0,4,6,1,5,2,1,1,1.0,9,1.0
12,0,23.0,1.0,0,4,5,3,5,3,3,1,1.0,11,1.0
13,0,9.5,1.0,0,4,5,3,3,2,3,1,1.0,4,2.0
18,0,17.0,4.0,0,4,4,1,4,1,1,1,0.3333333333333333,10,1.0
20,0,13.5,1.0,0,4,6,3,5,3,3,1,0.0,15,2.0
21,0,10.0,2.0,0,4,4,1,4,1,1,1,10.0,4,1.0
23,0,10.333333,3.0,0,4,6,3,5,3,3,1,0.0,6,3.0
26,0,15.0,0.5,0,4,4,2,4,2,2,1,0.0,15,2.0
27,0,6.666666499999999,1.5,0,4,6,3,5,3,3,1,0.5,6,4.0
30,0,9.5,1.0,0,4,6,2,5,3,2,1,0.0,8,2.0
33,0,5.25,1.7,0,4,3,2,5,3,2,1,0.0,11,3.0
39,0,7.0,1.5,0,4,4,1,4,1,2,1,0.5,8,2.0
40,0,11.0,1.0,0,4,4,2,4,3,3,1,0.0,9,3.0
43,0,15.5,1.0,0,4,6,3,4,3,3,1,2.0,15,5.0
45,0,10.0,1.0,0,4,4,2,4,2,2,1,10.0,17,1.0
49,1,13.5,1.5,0,4,1,2,5,3,2,1,0.5,11,3.0
53,1,11.0,2.0,0,2,5,2,3,2,3,1,1.0,11,2.0
56,1,9.0,1.3,0,4,6,3,5,3,3,1,1.0,7,2.0
58,0,7.0,1.0,0,2,4,3,4,3,3,1,10.0,7,0.0
59,0,10.0,2.0,0,4,6,3,5,3,3,1,0.0,14,2.0
61,0,13.0,1.0,0,4,6,3,5,3,3,1,0.5,14,6.0
64,0,9.0,0.3,0,2,4,3,5,2,2,1,10.0,9,1.0
68,2,9.0,2.5,0,4,6,2,5,2,2,1,0.6666666666666666,9,5.0
72,1,14.0,2.0,0,4,6,3,5,3,3,1,1.0,15,3.0
74,0,16.5,1.0,0,4,6,3,5,3,3,1,0.5,16,7.0
77,1,14.0,1.0,0,4,6,3,5,3,3,1,0.5,14,3.0
80,0,14.333332999999998,0.8,0,4,3,3,5,3,3,1,0.0,13,5.0
84,0,9.333333,1.0,0,4,3,2,5,2,2,1,2.0,6,2.0
86,0,6.5,1.0,0,4,4,2,5,3,2,1,1.0,0,1.0
91,0,12.0,1.3,0,4,6,3,5,3,3,1,1.0,15,4.0
92,0,11.0,0.5,0,4,4,3,3,2,3,1,10.0,11,1.0
95,1,6.0,2.5,0,4,5,2,5,2,2,1,0.6666666666666666,4,4.0
98,0,8.0,3.0,0,4,5,3,5,3,3,1,2.0,8,1.0
102,1,14.0,1.0,0,4,6,3,5,3,3,1,0.5,17,5.0
106,1,11.0,1.5,0,4,5,3,5,3,3,1,0.5,11,3.0
107,0,6.0,0.3,0,4,6,3,5,3,3,1,10.0,6,1.0
108,0,4.0,0.2,0,4,6,3,5,3,3,1,10.0,4,1.0
109,0,6.0,0.7,0,4,4,3,5,3,3,1,1.0,4,0.0
112,1,11.5,2.0,0,4,6,3,5,3,3,1,1.0,14,4.0
119,0,13.0,1.0,0,4,6,3,5,3,2,1,0.3333333333333333,15,6.0
124,0,9.0,1.7,0,2,4,1,5,1,1,1,0.25,0,3.0
128,0,12.75,1.0,0,4,6,3,5,3,3,1,3.0,17,4.0
132,1,9.5,2.0,0,4,4,2,4,3,3,1,1.0,10,8.0
134,0,12.5,0.7,0,4,6,3,3,3,3,1,10.0,14,4.0
139,2,13.5,1.3,0,4,6,2,5,2,2,1,1.0,15,3.0
141,1,7.0,0.7,0,3,6,2,5,3,2,1,1.0,7,2.0
142,0,5.5,2.0,0,4,6,2,5,2,3,1,0.0,6,2.0
153,0,7.777777700000001,5.0,0,4,2,1,1,1,1,1,0.25,5,5.0
157,3,9.5,1.7,0,1,3,2,5,3,1,1,1.5,8,2.0
165,1,7.5,1.4,0,4,5,3,5,3,3,1,0.4,5,6.0
171,3,4.5,3.5,0,2,1,1,1,1,1,1,0.75,0,4.0
174,1,10.0,2.0,0,3,6,3,5,1,3,1,0.5,7,5.0
182,0,11.333333,2.0,0,4,2,1,1,1,3,1,0.0,11,5.0
183,0,6.0,1.0,0,4,5,2,3,2,2,1,0.0,6,1.0
184,0,6.0,1.0,0,2,6,2,3,3,3,1,1.0,6,2.0
193,4,6.25,3.0,0,2,1,1,1,1,1,1,1.25,5,4.0
197,3,6.0,3.0,0,2,6,3,5,3,3,1,3.0,6,3.0
200,2,10.0,3.0,0,1,6,2,3,1,2,1,2.0,10,3.0
202,0,16.0,0.2,0,4,6,3,5,3,3,1,10.0,16,1.0
204,0,15.0,1.0,0,4,6,3,5,3,3,1,0.0,14,5.0
208,2,16.0,1.0,0,4,6,3,5,3,3,1,1.0,17,4.0
210,1,19.0,0.8,0,4,6,3,5,3,3,1,0.5,21,3.0
213,0,10.0,0.5,0,4,6,3,5,3,3,1,1.0,14,3.0
215,0,5.0,0.7,0,2,6,2,3,2,2,1,1.0,4,0.0
218,0,14.333332999999998,1.0,0,4,6,3,5,3,3,1,0.0,16,4.0
223,0,12.25,1.0,0,4,6,3,5,3,3,1,1.0,9,7.0
225,0,14.0,0.7,0,4,6,3,5,3,2,1,0.0,15,2.0
226,0,5.6666665,1.0,0,4,6,2,5,3,1,1,2.0,11,3.0
229,0,14.0,1.0,0,4,6,3,5,3,3,1,0.0,14,7.0
230,0,14.0,1.0,0,4,6,3,5,3,3,1,0.0,14,7.0
231,0,14.0,1.0,0,4,6,3,5,3,3,1,0.0,14,7.0
232,0,17.0,1.0,0,4,6,3,5,3,3,1,0.0,17,2.0
233,0,15.0,0.3,0,4,6,3,5,3,3,1,0.0,15,5.0
234,0,9.666667,0.8,0,4,6,2,5,3,3,1,0.0,9,3.0
237,0,8.0,0.5,0,1,6,3,5,2,3,1,10.0,8,0.0
238,0,13.0,0.5,0,4,6,3,5,3,3,1,0.0,13,5.0
243,2,5.0,2.5,0,4,5,1,3,2,1,1,1.5,4,1.0
245,0,4.5,2.0,1,4,6,1,5,1,1,1,1.0,3,2.0
248,0,2.0,1.5,1,4,6,3,5,3,3,1,0.0,6,3.0
250,0,7.0,0.5,0,3,6,3,5,2,3,1,10.0,7,1.0
254,1,7.5,2.0,0,4,6,2,5,2,2,1,1.0,6,2.0
255,0,8.0,1.0,0,4,6,3,5,3,3,1,0.5,8,4.0
261,2,13.0,2.0,0,4,6,3,5,3,3,1,1.0,11,6.0
264,1,9.333333,2.0,0,4,5,3,5,3,3,1,0.3333333333333333,9,3.0
269,0,11.5,1.0,0,4,6,2,5,3,3,1,0.0,11,8.0
274,1,17.0,1.0,0,4,6,3,5,3,3,1,0.2,17,8.0
280,1,10.5,1.3,1,4,2,3,5,3,3,1,0.3333333333333333,9,4.0
282,2,5.0,3.0,0,1,5,2,3,2,2,1,2.0,5,1.0
288,1,13.5,3.0,1,2,2,2,3,2,2,1,2.0,7,4.0
294,0,11.4,2.0,0,4,6,3,5,3,3,1,0.2,10,2.0
300,0,11.75,2.5,0,4,6,3,5,3,3,1,0.25,11,5.0
302,0,9.333333,1.3,0,4,5,2,5,2,2,1,0.5,6,3.0
306,1,6.666666499999999,1.3,0,4,6,3,5,3,3,1,0.3333333333333333,11,6.0
310,0,8.0,1.5,0,4,3,1,5,1,1,1,0.0,6,4.0
314,1,16.0,2.0,0,2,6,3,5,3,3,1,3.0,7,5.0
316,0,7.0,0.7,0,4,2,1,3,1,1,1,1.0,7,2.0
321,2,6.0,2.0,0,2,6,2,5,2,2,1,2.0,6,1.0
324,0,11.0,0.8,0,4,6,3,3,3,3,1,2.0,5,2.0
328,0,7.0,1.0,0,4,6,3,5,3,3,1,0.0,3,3.0
332,1,6.0,1.3,0,4,6,3,5,3,3,1,1.0,6,6.0
334,0,14.0,0.4,0,4,6,3,5,3,3,1,1.0,17,2.0
336,0,13.0,0.5,0,4,6,2,5,2,2,1,0.0,13,2.0
337,0,16.5,1.0,0,4,6,3,5,3,3,1,0.0,16,5.0
340,0,13.666667000000002,1.3,0,4,6,3,5,3,3,1,0.3333333333333333,11,6.0
343,0,14.333332999999998,1.5,0,4,6,3,5,3,3,1,0.0,15,5.0
346,0,14.0,2.0,0,4,6,3,5,3,3,1,0.0,14,2.0
349,0,12.5,2.0,0,4,6,2,5,2,2,1,0.0,11,5.0
350,0,2.5,1.0,0,4,6,2,5,2,2,1,10.0,5,2.0
353,0,12.0,1.0,0,4,6,3,5,3,3,1,0.0,15,4.0
